"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD3_C0","TEXCOORD3_C1"
"[1520]",,"1585","506","0","-5.43067","-9.78087","0.2","25.8357","0.956543","-0.21814","0.194702","201","255"
"[1521]",,"1585","507","0","-5.43067","-9.78087","0.2","25.8357","0.956543","-0.21814","0.194702","201","255"
"[1522]",,"1586","507","0","-5.40489","-9.61267","0.2","25.9055","0.765625","-0.54248","0.345947","201","255"
"[1523]",,"1844","507","0","-5.47599","-9.67859","0.2","25.8321","0.930664","-0.361816","0.0499878","201","255"
"[1524]",,"1675","508","0","-5.44385","-9.53129","0.2","25.9004","0.808594","-0.413086","0.418701","201","255"
"[1525]",,"1844","508","0","-5.47599","-9.67859","0.2","25.8321","0.930664","-0.361816","0.0499878","201","255"
"[1526]",,"1586","508","0","-5.40489","-9.61267","0.2","25.9055","0.765625","-0.54248","0.345947","201","255"
"[1527]",,"1844","509","0","-5.47599","-9.67859","0.2","25.8321","0.930664","-0.361816","0.0499878","201","255"
"[1528]",,"1675","509","0","-5.44385","-9.53129","0.2","25.9004","0.808594","-0.413086","0.418701","201","255"
"[1529]",,"1841","509","0","-5.51225","-9.58998","0.2","25.8288","0.957031","-0.272949","0.0970459","201","255"
"[1530]",,"1677","510","0","-5.47242","-9.45014","0.2","25.8843","0.838379","-0.0013895","0.54541","201","255"
"[1531]",,"1841","510","0","-5.51225","-9.58998","0.2","25.8288","0.957031","-0.272949","0.0970459","201","255"
"[1532]",,"1675","510","0","-5.44385","-9.53129","0.2","25.9004","0.808594","-0.413086","0.418701","201","255"
"[1533]",,"1841","511","0","-5.51225","-9.58998","0.2","25.8288","0.957031","-0.272949","0.0970459","201","255"
"[1534]",,"1677","511","0","-5.47242","-9.45014","0.2","25.8843","0.838379","-0.0013895","0.54541","201","255"
"[1535]",,"1842","511","0","-5.54347","-9.50733","0.2","25.8228","0.941895","0.122864","0.312012","201","255"
"[1536]",,"1842","512","0","-5.54347","-9.50733","0.2","25.8228","0.941895","0.122864","0.312012","201","255"
"[1537]",,"1581","512","0","-5.62674","-9.63564","0.2","25.8044","0.944824","0.220581","0.243164","201","255"
"[1538]",,"1841","512","0","-5.51225","-9.58998","0.2","25.8288","0.957031","-0.272949","0.0970459","201","255"
"[1539]",,"1581","513","0","-5.62674","-9.63564","0.2","25.8044","0.944824","0.220581","0.243164","201","255"
"[1540]",,"1842","513","0","-5.54347","-9.50733","0.2","25.8228","0.941895","0.122864","0.312012","201","255"
